dataset,lossfunction,recall,acc,f1_macro,f1_micro,auroc,avg_training_time,acc_class_0,f1_class_0,auc_class_0,acc_class_1,f1_class_1,auc_class_1,acc_class_2,f1_class_2,auc_class_2,acc_class_3,f1_class_3,auc_class_3,acc_class_4,f1_class_4,auc_class_4,acc_class_5,f1_class_5,auc_class_5
CiteSeer,WCEL,0.6157127332222955,0.655,0.5616575388211088,0.655,0.887396514415741,0.14564242601394653,42.857142857142854,0.3529411764705882,0.7780318273276018,79.12087912087912,0.6651270207852193,0.9111340981756628,75.69060773480663,0.7425474254742547,0.9024143444032946,81.81818181818181,0.7809917355371901,0.9288894893576298,89.94082840236686,0.8283378746594006,0.9586297253611888,0.0,0.0,0.845279017857143
CiteSeer,WCEL,0.6221270983290214,0.631,0.5610855544697271,0.631,0.8649422526359558,0.14638714075088502,57.142857142857146,0.4170616113744075,0.7991023061445596,79.12087912087912,0.5950413223140496,0.8574988581101051,0.0,0.0,0.7635507525010288,78.35497835497836,0.802660753880266,0.9109514239553251,90.53254437869822,0.7948051948051947,0.9532110026417163,68.125,0.7569444444444445,0.9053385416666666
CiteSeer,WCEL,0.6060466509985739,0.633,0.5532029767990826,0.633,0.8740803599357605,0.14580999374389647,40.25974025974026,0.36686390532544383,0.7814016968946547,79.67032967032966,0.6157112526539279,0.8840310056691474,0.0,0.0,0.7798824870648075,83.98268398268398,0.7533980582524272,0.9315578223250527,82.84023668639053,0.8022922636103151,0.9423450750859804,76.875,0.780952380952381,0.9252641369047621
CiteSeer,WCEL,0.4820845679324217,0.475,0.38858896661845194,0.47500000000000003,0.8163245320320129,0.14550620794296265,38.96103896103896,0.3448275862068966,0.6816071252690972,91.20879120879121,0.49478390461997024,0.8886287917461512,77.90055248618785,0.6650943396226415,0.8779909470517206,1.2987012987012987,0.025641025641025647,0.7452276808583701,79.88165680473372,0.801186943620178,0.9223755509509466,0.0,0.0,0.7821168154761905
CiteSeer,WCEL,0.7265588194800903,0.762,0.7300247429313567,0.762,0.9178434014320374,0.14504290342330933,38.96103896103896,0.47619047619047616,0.8199265523209186,74.17582417582418,0.7161803713527852,0.9258577608210861,73.48066298342542,0.7388888888888888,0.9184492609906973,80.95238095238095,0.8148148148148149,0.9382399135325012,84.61538461538461,0.819484240687679,0.9506582929243301,83.75,0.8145896656534956,0.9539285714285715
CiteSeer,WCEL,0.7236103292042518,0.753,0.7249507592485717,0.753,0.9199883937835693,0.14503702640533447,42.857142857142854,0.4852941176470588,0.8397447622799735,68.13186813186813,0.6985915492957746,0.9116210806308604,79.00552486187846,0.7204030226700253,0.923883053717308,77.05627705627705,0.8090909090909091,0.9365454658042436,84.61538461538461,0.8289855072463768,0.9581099267297545,82.5,0.8073394495412844,0.9500260416666667
CiteSeer,WCEL,0.7340516428900937,0.766,0.7351059950754492,0.766,0.9180121421813965,0.14571362733840942,41.55844155844156,0.46715328467153283,0.8139395815452154,78.57142857142857,0.7371134020618556,0.9272515381928585,75.13812154696133,0.7452054794520546,0.91619276978393,77.4891774891775,0.8136363636363636,0.939754220638486,85.79881656804734,0.8262108262108262,0.956596814275237,81.875,0.8213166144200627,0.9543377976190477
CiteSeer,WCEL,0.7284960236498166,0.764,0.7306173211993787,0.764,0.9198718667030334,0.14521266937255858,37.66233766233766,0.46031746031746035,0.8211788211788211,76.37362637362638,0.7220779220779221,0.923607566028104,75.69060773480663,0.7506849315068492,0.9162703472095737,77.92207792207792,0.8144796380090498,0.9389942523882706,87.57396449704142,0.8199445983379501,0.96028880866426,81.875,0.8161993769470405,0.9588913690476191
CiteSeer,WCEL,0.731743277824079,0.764,0.7344692015433884,0.764,0.9196859002113342,0.14539180994033812,41.55844155844156,0.4923076923076923,0.8269195593139255,76.37362637362638,0.7239583333333333,0.9212566162443911,74.58563535911603,0.733695652173913,0.9127456337401089,78.78787878787878,0.8216704288939053,0.9438270875201954,84.61538461538461,0.8242074927953891,0.9551264249959057,83.125,0.8109756097560975,0.9582403273809523
CiteSeer,WCEL,0.7252927529157343,0.756,0.7253554881455097,0.756,0.9180074334144592,0.14573840618133546,41.55844155844156,0.4571428571428572,0.8223888787269069,73.07692307692308,0.7074468085106383,0.9204102743222545,76.24309392265194,0.739946380697051,0.9168842207516242,76.62337662337663,0.8100686498855835,0.9406042591998378,85.79881656804734,0.8238636363636365,0.9534673416928346,81.875,0.8136645962732918,0.9542894345238094
